burn_events,date,mint_events,net_liquidity_change,pool_address,swap_events,total_liquidity_added,total_liquidity_removed,total_trading_volume
271,2025-02-24 00:00:00.000 UTC,251,-605678485253902746,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7791,82224159596024712733783,82224765274509966636529,213331217386726177585774
230,2025-02-23 00:00:00.000 UTC,211,869897777462517341,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6254,65508893048903632095880,65508023151126169578539,129281362716476268824477
254,2025-02-22 00:00:00.000 UTC,265,-7280742462148687131,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6361,88404719141012570219914,88411999883474718907045,102728423445013255795705
262,2025-02-21 00:00:00.000 UTC,233,7585473208556050800,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8285,70368753131135927641891,70361167657927371591091,203309529604330747479638
275,2025-02-20 00:00:00.000 UTC,256,-1222398585377963614,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,5839,90904649317784854907049,90905871716370232870663,79960045671511050648158
242,2025-02-19 00:00:00.000 UTC,221,-170933373396590068,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6601,64519259018919458311485,64519429952292854901553,84042998339144080251542
246,2025-02-18 00:00:00.000 UTC,239,-2338077056455600786,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8171,77746932358053835024019,77749270435110290624805,155836337575938775920054
180,2025-02-17 00:00:00.000 UTC,191,-2621908223982556358687,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6631,55798045488084551181869,58419953712067107540556,155455988011818276425711
183,2025-02-16 00:00:00.000 UTC,173,2620837677525241033256,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4636,62537836069043764355722,59916998391518523322466,44013771556846250673433
195,2025-02-15 00:00:00.000 UTC,225,2816624429848800046,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4947,76837157251207785887171,76834340626777937087125,39586156943342111708532
201,2025-02-14 00:00:00.000 UTC,212,440234754608887919,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7652,67859067991792983935331,67858627757038375047412,114105426710536524787009
234,2025-02-13 00:00:00.000 UTC,256,136699715783543582,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7776,85530901717439090002988,85530765017723306459406,117628769849204119190041
202,2025-02-12 00:00:00.000 UTC,219,2927809004397628580,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8148,63529039241072155061630,63526111432067757433050,149665774744572048334512
219,2025-02-11 00:00:00.000 UTC,239,52700714578994912,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7961,75116260149797761995299,75116207449083183000387,137706936175734325401291
213,2025-02-10 00:00:00.000 UTC,204,-2695158479890044356,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7743,67053764309860629080561,67056459468340519124917,79971672579797614699817
246,2025-02-09 00:00:00.000 UTC,224,959227125931926147,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7041,91027399679444699753775,91026440452318767827628,73744862664912390819512
246,2025-02-08 00:00:00.000 UTC,228,-2552349263002021029,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6595,90991533031243588985432,90994085380506591006461,56789539701301241069819
214,2025-02-07 00:00:00.000 UTC,232,2301641067417682661,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,9499,76196318413643043071395,76194016772575625388734,157205999718481379074650
213,2025-02-06 00:00:00.000 UTC,193,-1599331987333007182,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10033,65429090288246569513968,65430689620233902521150,311769779893014006590054
213,2025-02-05 00:00:00.000 UTC,197,-263576039521018270,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,9551,55562881533551438355722,55563145109590959373992,168700053029025334711332
244,2025-02-04 00:00:00.000 UTC,236,4196772003228272916,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12530,53124324922891121276404,53120128150887893003488,275690057992122905895235
248,2025-02-03 00:00:00.000 UTC,195,12127565865159449631,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,15006,30523911623535456254166,30511784057670296804535,576458825831482473109304
209,2025-02-02 00:00:00.000 UTC,192,-4104152944038992158,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10310,38486092938963529973753,38490197091907568965911,142868567814515296101035
