burn_events,date,mint_events,net_liquidity_change,pool_address,swap_events,total_liquidity_added,total_liquidity_removed,total_trading_volume
271,2025-02-24 00:00:00+00:00,251,-605678485253902746,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7791,82224.1595960247,82224.76527450995,213331.21738672617
230,2025-02-23 00:00:00+00:00,211,869897777462517341,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6254,65508.89304890363,65508.023151126166,129281.36271647626
254,2025-02-22 00:00:00+00:00,265,-7280742462148687131,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6361,88404.71914101258,88411.99988347472,102728.42344501324
262,2025-02-21 00:00:00+00:00,233,7585473208556050800,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8285,70368.75313113593,70361.16765792738,203309.52960433078
275,2025-02-20 00:00:00+00:00,256,-1222398585377963614,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,5839,90904.64931778483,90905.87171637024,79960.04567151105
242,2025-02-19 00:00:00+00:00,221,-170933373396590068,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6601,64519.25901891945,64519.42995229285,84042.99833914408
246,2025-02-18 00:00:00+00:00,239,-2338077056455600786,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8171,77746.93235805382,77749.27043511029,155836.33757593876
180,2025-02-17 00:00:00+00:00,191,-2621908223982556358687,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6631,55798.04548808456,58419.95371206711,155455.9880118183
183,2025-02-16 00:00:00+00:00,173,2620837677525241033256,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4636,62537.83606904376,59916.99839151852,44013.771556846244
195,2025-02-15 00:00:00+00:00,225,2816624429848800046,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,4947,76837.15725120777,76834.34062677794,39586.15694334211
201,2025-02-14 00:00:00+00:00,212,440234754608887919,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7652,67859.06799179298,67858.62775703837,114105.42671053651
234,2025-02-13 00:00:00+00:00,256,136699715783543582,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7776,85530.90171743909,85530.7650177233,117628.76984920412
202,2025-02-12 00:00:00+00:00,219,2927809004397628580,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8148,63529.039241072154,63526.111432067766,149665.77474457203
219,2025-02-11 00:00:00+00:00,239,52700714578994912,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7961,75116.26014979776,75116.20744908319,137706.93617573433
213,2025-02-10 00:00:00+00:00,204,-2695158479890044356,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7743,67053.76430986063,67056.45946834052,79971.67257979763
246,2025-02-09 00:00:00+00:00,224,959227125931926147,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,7041,91027.39967944469,91026.44045231875,73744.86266491238
246,2025-02-08 00:00:00+00:00,228,-2552349263002021029,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6595,90991.53303124358,90994.0853805066,56789.53970130124
214,2025-02-07 00:00:00+00:00,232,2301641067417682661,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,9499,76196.31841364304,76194.01677257562,157205.99971848135
213,2025-02-06 00:00:00+00:00,193,-1599331987333007182,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10033,65429.090288246574,65430.689620233905,311769.77989301406
213,2025-02-05 00:00:00+00:00,197,-263576039521018270,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,9551,55562.88153355144,55563.14510959096,168700.05302902532
244,2025-02-04 00:00:00+00:00,236,4196772003228272916,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12530,53124.324922891115,53120.12815088788,275690.0579921229
248,2025-02-03 00:00:00+00:00,195,12127565865159449631,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,15006,30523.911623535456,30511.784057670295,576458.8258314825
209,2025-02-02 00:00:00+00:00,192,-4104152944038992158,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10310,38486.09293896353,38490.19709190757,142868.56781451526
153,2025-02-01 00:00:00+00:00,143,-1332074340847467936035,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6300,35086.514417280385,36418.58875812786,79993.01347626254
143,2025-01-31 00:00:00+00:00,133,1360890727601384303092,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6968,31645.425712984932,30284.53498538355,146354.84952133227
155,2025-01-30 00:00:00+00:00,156,176197831379748194,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,5970,40888.138462258,40887.96226442663,70295.46714723871
133,2025-01-29 00:00:00+00:00,133,21168793137809078,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6652,38527.703493152454,38527.68232435932,67909.06958611649
131,2025-01-28 00:00:00+00:00,126,-50075539366569956,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6207,22343.79432416929,22343.844399708654,55504.428167028396
182,2025-01-27 00:00:00+00:00,169,-2193499300339681021,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,8744,34174.93606999932,34177.12956929966,129145.29394375613
